timestamp,x,y,left_button_holding,right_button_holding
1478943308.05663,1135,-306,False,False
1478943308.087885,1137,-305,False,False
1478943308.087885,1138,-305,False,False
1478943308.103531,1140,-304,False,False
1478943308.103531,1141,-303,False,False
1478943308.119158,1142,-303,False,False
1478943308.119158,1143,-302,False,False
1478943308.135823,1144,-302,False,False
1478943308.140825,1145,-301,False,False
1478943308.156594,1148,-300,False,False
1478943308.172221,1149,-300,False,False
1478943308.187789,1151,-298,False,False
1478943308.187789,1152,-297,False,False
1478943308.203414,1154,-296,False,False
1478943308.219096,1156,-295,False,False
1478943308.240925,1156,-294,False,False
1478943308.256694,1157,-292,False,False
1478943308.319194,1157,-292,False,True
1478943308.372394,1156,-292,False,True
1478943308.419271,1153,-291,False,True
1478943308.439524,1152,-291,False,True
1478943308.441026,1151,-290,False,True
1478943308.441026,1149,-290,False,True
1478943308.456742,1147,-290,False,True
1478943308.456742,1144,-288,False,True
1478943308.472367,1142,-288,False,True
1478943308.472367,1139,-287,False,True
1478943308.488018,1136,-286,False,True
1478943308.503672,1134,-286,False,True
1478943308.503672,1132,-286,False,True
1478943308.519254,1129,-285,False,True
1478943308.519254,1128,-285,False,True
1478943308.540943,1127,-285,False,True
1478943308.540943,1126,-285,False,True
1478943308.540943,1126,-285,False,False
1478943308.540943,1126,-285,False,False
1478943308.556683,1126,-285,False,False
1478943308.556683,1126,-285,False,False
1478943308.556683,1126,-285,False,False
1478943308.556683,1124,-285,False,True
1478943308.556683,1124,-285,False,False
1478943308.556683,1124,-285,False,False
1478943308.556683,1124,-285,False,False
1478943308.556683,1124,-285,False,False
1478943308.572339,1124,-285,False,False
1478943308.572339,1124,-285,False,False
1478943308.572339,1124,-285,False,False
1478943308.572339,1122,-285,False,True
1478943308.587934,1122,-285,False,False
1478943308.587934,1122,-285,False,False
1478943308.587934,1122,-285,False,False
1478943308.587934,1120,-286,False,True
1478943308.60356,1118,-287,False,True
1478943308.60356,1118,-287,False,False
1478943308.60356,1118,-287,False,False
1478943308.60356,1118,-287,False,False
1478943308.60356,1117,-288,False,True
1478943308.619177,1117,-289,False,True
1478943308.619177,1116,-290,False,True
1478943308.639349,1116,-292,False,True
1478943308.641332,1116,-292,False,False
1478943308.641332,1116,-292,False,False
1478943308.641332,1116,-292,False,False
1478943308.641332,1116,-294,False,True
1478943308.641332,1115,-295,False,True
1478943308.656989,1115,-297,False,True
1478943308.656989,1115,-297,False,False
1478943308.656989,1115,-297,False,False
1478943308.656989,1115,-297,False,False
1478943308.656989,1115,-297,False,False
1478943308.656989,1115,-297,False,False
1478943308.656989,1115,-297,False,False
1478943308.656989,1115,-300,False,True
1478943308.672585,1115,-304,False,True
1478943308.672585,1115,-304,False,False
1478943308.672585,1115,-304,False,False
1478943308.672585,1115,-304,False,False
1478943308.672585,1115,-304,False,False
1478943308.672585,1115,-304,False,False
1478943308.672585,1115,-304,False,False
1478943308.672585,1113,-307,False,True
1478943308.688209,1113,-307,False,False
1478943308.688209,1113,-307,False,False
1478943308.688209,1113,-307,False,False
1478943308.688209,1113,-309,False,True
1478943308.688209,1113,-313,False,True
1478943308.703861,1113,-313,False,False
1478943308.703861,1113,-313,False,False
1478943308.703861,1113,-313,False,False
1478943308.703861,1113,-313,False,False
1478943308.703861,1113,-313,False,False
1478943308.703861,1113,-313,False,False
1478943308.703861,1113,-314,False,True
1478943308.703861,1113,-314,False,False
1478943308.703861,1113,-314,False,False
1478943308.703861,1113,-314,False,False
1478943308.71946,1112,-317,False,True
1478943308.71946,1112,-318,False,True
1478943308.735832,1112,-319,False,True
1478943308.740685,1112,-322,False,True
1478943308.740685,1112,-322,False,False
1478943308.740685,1112,-322,False,False
1478943308.740685,1112,-322,False,False
1478943308.740685,1112,-323,False,True
1478943308.756827,1112,-324,False,True
1478943308.756827,1112,-325,False,True
1478943308.772452,1112,-327,False,True
1478943308.788048,1112,-328,False,True
1478943308.803705,1112,-330,False,True
1478943308.803705,1113,-332,False,True
1478943308.819299,1114,-334,False,True
1478943308.819299,1116,-336,False,True
1478943308.839491,1116,-337,False,True
1478943308.840992,1117,-339,False,True
